Sample_ID,Tensile_Strength,Bending_Load,Temperature,Humidity,Aging_Duration,Pollution_Level,Leakage_Current,Hydrophobicity_Class,Core_Diameter,Shed_Diameter,Shed_Spacing,Material_Density,Mechanical_Strength
S00001,74.9816047538945,76.77648257014573,20.92604397627383,45.69350013026824,7.098937437125963,0.25796064076105685,0.21633047458012744,1,15.017361906717229,112.2478530879373,65.73517719301766,1.9216871094516341,48.6617686553859
S00002,98.02857225639664,58.645432492436825,24.969895024292384,65.66441801932476,1.8129981400360475,0.17621519459393292,0.6933436183966426,5,15.280457503504017,92.83516482952999,54.50618477511703,1.8371558357019,59.721518673719345
S00003,89.2797576724562,73.63487691897035,31.85374654323702,66.05480344963769,13.35361868243789,0.2134128549331073,0.7686318889990158,1,18.406421713325816,113.03909690830952,73.3775779411214,1.819974203656796,59.123019720863006
S00004,83.94633936788146,86.5282384725669,29.490017275656566,88.58252489658027,5.4379191702024166,0.19925934939862017,0.5179553724285333,4,18.4761897447559,88.223732833912,74.62275378275066,1.8879158734178456,55.74070736574819
S00005,66.24074561769746,81.91209488834431,22.91162392950133,72.74903470194441,9.994444682556122,0.2095422251559086,0.34678083918113867,6,19.68128560006826,104.0407416557957,73.55490771269834,1.9111320883303995,52.280495957025046
S00006,66.2397808134481,86.85830944866122,32.9798032307215,54.39201465384009,9.504069825580496,0.10752471345679503,0.4448124757904299,3,14.260569251833788,118.38912240524277,57.544918662039535,1.810571286377044,53.776244732004905
S00007,62.323344486727976,89.1402386773076,30.14347314978688,52.03996549690692,9.182815555383375,0.1433223598015479,0.7246397674559304,1,15.288542586365953,81.64085742602278,60.12722359327237,1.9122990403182574,51.739931298991124
S00008,94.6470458309974,50.42680508024651,23.678576613723152,46.41241028225325,8.359970828162178,0.06265731321612285,0.5953462958143747,3,14.113024746650781,116.34238576116651,56.257015713916466,1.9033428889852821,60.3414922058695
S00009,84.04460046972835,74.9096510550991,28.883513918357266,77.82573620245297,3.540157668038593,0.19690912867205218,0.7947392229218033,3,24.499744204090053,86.59357227256399,50.09935166344332,1.8465776558370648,56.13445288207948
S00010,88.32290311184181,66.51357591035625,46.59308166066171,74.53783280911694,4.928480374671517,0.16481461551894389,0.3745361956186514,4,17.446844828843474,103.23869909554152,51.93833083245911,1.8416023358217009,54.771167678553965
S00011,60.823379771832094,84.39417961340487,29.061465964680206,70.49385636540529,8.338632997784202,0.24017903725476808,0.8735884946429728,1,21.568770496635853,81.9521416979528,79.58958877398055,1.7709305535180229,48.179050085576804
